site,taxon,duration_total,duration_percent,mgv_order
TLK,Dikana,1051,0.269369072,90
TLK,Sirahazo,971,0.248865241,91
TLK,Bararatalahy,801,0.205294602,92
TLK,Unknown,685,0.175564048,93
TLK,Vahiporisitra,568,0.145577196,94
TLK,Kalamasy,441,0.113027365,95
TLK,Sevamavo,418,0.107132514,96
TLK,Vahimbarongy,315,0.080733832,97
TLK,Kalafambakaka,288,0.073813789,98
TLK,Vahimavo,280,0.071763406,99
TLK,Rahonato,184,0.04715881,100
TLK,Senana,178,0.045621023,101
TLK,Marorasana,120,0.030755746,102
TLK,Voararano,85,0.02178532,103
TLK,Rogoga,42,0.010764511,104
TLK,Fanjavala,12,0.003075575,105
