site,type,AP_kcal,NPE_kcal,NPE_AP_ratio,AP_per_g,NPE_per_g,part
TLK,food,35.26641055,306.0038115,8.676919673,0.352664106,3.060038115,FR
TLK,food,33.53637424,294.3130493,8.775935264,0.335363742,2.943130493,FR
TLK,food,NA,NA,NA,NA,NA,FL
TLK,food,14.74745238,274.1939992,18.592635,0.147474524,2.741939992,FR
TLK,food,9.944781229,148.8802414,14.97069045,0.099447812,1.488802414,FR
TLK,food,10.11425428,274.6975715,27.15944882,0.101142543,2.746975715,FR
TLK,food,0.916441868,150.1096378,163.796137,0.009164419,1.501096378,FR
TLK,food,3.264991756,265.6865408,81.37433741,0.032649918,2.656865408,FR
TLK,food,41.26487338,182.5183925,4.423093483,0.412648734,1.825183925,LE
TLK,food,24.96409012,232.2868483,9.30483936,0.249640901,2.322868483,FR
TLK,food,19.23870259,220.8907687,11.48158342,0.192387026,2.208907687,LE
TLK,food,54.6992983,225.3112508,4.119088503,0.546992983,2.253112508,FR
TLK,food,66.39398859,157.9717839,2.379308538,0.663939886,1.579717839,FR
TLK,food,55.47876438,214.2000239,3.860937177,0.554787644,2.142000239,FR
TLK,food,13.99917783,159.2001974,11.37211052,0.139991778,1.592001974,FR
TLK,food,3.146197027,20.38868232,6.480421329,0.03146197,0.203886823,OT
TLK,food,16.84170242,394.5927221,23.42950328,0.168417024,3.945927221,FR
TLK,food,66.30833986,192.568758,2.904140843,0.663083399,1.92568758,FL
TLK,food,6.05846401,232.5333362,38.38156599,0.06058464,2.325333362,FR
TLK,food,20.38955432,238.2148887,11.68318272,0.203895543,2.382148887,FR
TLK,food,56.2537726,187.2776468,3.329157105,0.562537726,1.872776468,FR
TLK,food,9.05895367,164.3192617,18.1388787,0.090589537,1.643192617,FR
TLK,food,16.65279353,189.8145262,11.39835943,0.166527935,1.898145262,FR
TLK,food,28.78590626,115.7529108,4.021166113,0.287859063,1.157529108,FR
TLK,food,48.3279481,234.2175019,4.846419332,0.483279481,2.342175019,FR
TLK,food,42.68623672,268.5540496,6.291349865,0.426862367,2.685540496,FR
TLK,food,8.160427847,188.8886268,23.14690238,0.081604278,1.888886268,FR
TLK,food,17.8160954,375.96997,21.10282649,0.178160954,3.7596997,FR
TLK,food,6.751472917,271.766723,40.25295314,0.067514729,2.71766723,FL
TLK,food,6.36824498,257.3191144,40.40659792,0.06368245,2.573191144,LE
TLK,food,42.73796649,171.456223,4.011801147,0.427379665,1.71456223,LE
TLK,food,3.473144504,47.13217784,13.57046267,0.034731445,0.471321778,OT
TLK,food,NA,NA,NA,NA,NA,FL
TLK,food,68.12044974,209.4285655,3.074386125,0.681204497,2.094285655,FL
TLK,food,63.72210152,NA,NA,0.637221015,NA,OT
TLK,food,11.45536152,198.6185457,17.33847905,0.114553615,1.986185457,FR
TLK,food,0.033764628,168.1766217,4980.852188,0.000337646,1.681766217,FR
TLK,food,17.42234766,401.6043601,23.05110471,0.174223477,4.016043601,FR
TLK,food,7.122385949,300.8744524,42.24349179,0.071223859,3.008744524,FR
TLK,food,42.35105963,308.7681217,7.29068232,0.423510596,3.087681217,FR
TLK,food,5.75259562,181.4108461,31.53547688,0.057525956,1.814108461,FR
TLK,food,41.96107511,156.7133209,3.73473083,0.419610751,1.567133209,FR
TLK,food,11.30856668,236.2066465,20.88740803,0.113085667,2.362066465,FR
TLK,food,12.91807568,369.4721267,28.60117373,0.129180757,3.694721267,FR
TLK,food,NA,NA,NA,NA,NA,FR
TLK,food,38.41094217,281.5251927,7.329296726,0.384109422,2.815251927,FR
TLK,food,NA,NA,NA,NA,NA,FR
TLK,food,NA,NA,NA,NA,NA,FR
TLK,food,36.08982614,270.7196288,7.501272735,0.360898261,2.707196288,FR
TLK,food,11.73966364,133.779246,11.39549225,0.117396636,1.33779246,FR
TLK,food,35.73158745,478.0898017,13.38003251,0.357315875,4.780898017,FR
TLK,food,40.46061176,285.981449,7.068144463,0.404606118,2.85981449,FR
TLK,food,32.54902911,127.4609941,3.915969157,0.325490291,1.274609941,FR
TLK,food,39.52788309,471.5897395,11.93055895,0.395278831,4.715897395,FR
TLK,food,19.7108342,338.5584973,17.17626427,0.197108342,3.385584973,FR
TLK,food,13.41865848,210.8660464,15.71439102,0.134186585,2.108660464,FR
TLK,food,21.59631411,309.9131999,14.35028211,0.215963141,3.099131999,FR
TLK,food,5.783018184,152.4493873,26.36156111,0.057830182,1.524493873,FR
TLK,food,31.39948354,152.0882024,4.843652994,0.313994835,1.520882024,FR
TLK,food,10.68075606,201.3588856,18.85249363,0.106807561,2.013588856,FR
TLK,food,32.49000087,269.2176576,8.286169603,0.324900009,2.692176576,FR
TLK,food,46.07687264,287.4764995,6.239062746,0.460768726,2.874764995,FR
TLK,food,35.39740437,258.9627733,7.315868999,0.353974044,2.589627733,FR
TLK,food,8.300185733,154.2361769,18.58225609,0.083001857,1.542361769,FR
TLK,food,45.71219472,280.4195874,6.134459067,0.457121947,2.804195874,FR
TLK,food,NA,NA,NA,NA,NA,FR
TLK,food,59.03131754,241.1624761,4.085331077,0.590313175,2.411624761,FR
TLK,food,45.28042571,190.8203956,4.214191731,0.452804257,1.908203956,FR
TLK,food,9.80106329,170.5563215,17.40181819,0.098010633,1.705563215,FR
TLK,food,7.599496593,294.2251092,38.71639465,0.075994966,2.942251092,FR
TLK,food,15.79191533,251.1444397,15.90335526,0.157919153,2.511444397,FR
TLK,food,11.64480163,372.3685272,31.97723235,0.116448016,3.723685272,FR
TLK,food,52.85590164,296.4736031,5.609091774,0.528559016,2.964736031,FR
TLK,food,NA,214.6057719,NA,NA,2.146057719,FR
TLK,food,48.90963505,210.1997701,4.297717002,0.489096351,2.101997701,FR
TLK,food,49.58723708,289.0161671,5.82843861,0.495872371,2.890161671,FR
TLK,food,20.2805654,226.1564397,11.15138732,0.202805654,2.261564397,FR
TLK,food,89.88189705,127.5447275,1.419025762,0.89881897,1.275447275,LE
TLK,food,22.93871678,215.0973849,9.377045235,0.229387168,2.150973849,FR
TLK,food,13.46255486,269.2662015,20.00112195,0.134625549,2.692662015,FR
TLK,food,25.45244188,226.4439795,8.896748712,0.254524419,2.264439795,FR
