No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
34,08/11/2022,TALA 34,Ramandriona,Proteaceae,Delobeia,thouarsii,Delobeia thouarsii,FR,0.90,59.3761785,55.2235394,35.8740209,5.3185464,3.50,1.5607374,10.6305936,24.9326960,,
35,11/11/2022,TALA 35,Soil,NA,NA,NA,NA,OT,0.97,0.0000000,0.0000000,0.0000000,0.7970264,0.79,0.0000000,94.1162802,5.0971706,,
36,11/11/2022,TALA 36,Kimbaletaka,Clusiaceae,Symphonia,sp,Symphonia sp.,FR,0.90,17.4844000,15.0356707,5.1703389,6.6472605,4.21,16.5168748,3.6469788,58.1413208,,
37,17/11/2022,TALA 37,Vahimberana,Papilionaceae,Strongylodon,sp.,Strongylodon sp.,FL,0.89,38.3252525,32.1863484,18.2418705,21.2012504,16.58,3.0846566,8.1409982,33.8720077,,
38,17/11/2022,TALA 38,Rotra,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.90,53.3831739,46.6790288,23.1148193,4.7992288,1.51,2.9646246,0.8841888,41.2533967,,
39,18/11/2022,TALA 39,Voara-3,Moraceae,Ficus,sp.,Ficus sp.,FR,0.90,33.8016556,29.2811157,14.5254000,9.3696843,5.10,6.8024548,16.5148687,37.7836323,8.901515152,3.0027174
40,18/11/2022,TALA 40,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.89,38.6804804,30.4748905,17.9114178,20.1835234,14.06,2.2963247,10.7047124,34.2550393,,
41,18/11/2022,TALA 41,Valotra,NA,NA,NA,NA,FR,0.88,71.3361712,61.5658209,33.4124967,2.8862217,2.26,2.1835565,1.6917633,22.5237705,,
42,18/11/2022,TALA 42,Voararano,Moraceae,Ficus,sp.,Ficus sp.,FR,0.89,53.7422269,47.4287466,34.3279445,12.5947941,4.16,4.1301185,10.0817922,27.8826641,,
43,18/11/2022,TALA 43,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.92,77.7093145,58.5846029,21.8694710,9.7102003,7.20,1.0986171,2.3911591,11.6044328,,
44,18/11/2022,TALA 44,Lanary Vatsilana,Sapindaceae,Plagioscyphus,sp.,Plagioscyphus sp.,FR,0.94,35.7237388,26.5857260,8.0712562,14.3331359,12.08,5.4972309,7.3436023,39.3534410,,
45,18/11/2022,TALA 45,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.96,30.0530063,22.6586010,13.9010996,13.7295890,10.67,8.2591701,8.2085223,42.8077421,7.930871212,23.2181273
46,18/11/2022,TALA 46,Sirahazo,Arecaceae,Dypsis,nodifera,Dypsis nodifera,FR,0.96,59.6205311,40.6296600,9.1845347,3.6775399,2.04,1.9130404,4.9109324,31.5153892,,
47,18/11/2022,TALA 47,Nato,Clusiaceae,Mammea,sp.,Mammea sp.,FR,0.98,52.2658776,40.8810674,30.3475318,7.2033566,4.45,36.4930095,4.8997170,1.8873721,,
48,18/11/2022,TALA 48,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,FL,0.96,38.8124860,32.9965325,18.7795467,6.0889871,1.69,6.0910422,6.5946558,46.8139478,,
49,18/11/2022,TALA 49,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.95,38.5196121,34.2753166,21.5914811,6.9754448,1.59,3.5982692,7.4232604,48.8667971,,
50,18/11/2022,TALA 50,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.96,58.2742336,41.3842846,20.5219956,15.1146680,10.68,4.9024944,5.4502842,20.6884962,,
51,05/12/2022,TALA 51,Soil,NA,NA,NA,NA,OT,1.01,0.0000000,0.0000000,0.0000000,0.8788396,0.87,0.7022510,88.2264832,10.2029797,,
52,09/12/2022,TALA 52,Vahimberana,Papilionaceae,Strongylodon,sp.,Strongylodon sp.,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
53,09/12/2022,TALA 53,Vahimberana,Papilionaceae,Strongylodon,sp.,Strongylodon sp.,FL,0.94,32.6462636,28.3947328,14.7031645,20.4259072,17.03,2.5280905,7.3701937,40.4253398,,
54,09/12/2022,TALA 54,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,BU,0.95,52.3634057,42.1048022,32.8717907,25.6714246,15.93,NA,4.4584766,NA,,
55,09/12/2022,TALA 55,Tsirika,NA,NA,NA,NA,FR,0.94,66.9413895,58.1212055,26.9763107,3.9083000,2.86,6.3159498,1.2376118,22.6412086,,
56,09/12/2022,TALA 56,Valotra,NA,NA,NA,NA,FR,0.87,73.2699728,62.7828501,34.9862720,4.1681414,0.01,1.6991058,0.8141952,24.2082851,,
